granule_id,mgrs_tile,date,source_granule_id,cloud_cover,spatial_cover,LaSRC_version,mean_view_zenith_angle,mean_view_azimuth_angle,mean_sun_zenith_angle,mean_sun_azimuth_angle,,,,,,,,,,,,,,,
HLS.L30.T11SLU.2022206T182841.v2.0,11SLU,2022-07-25,LC08_L1TP_041036_20220725_20220725_02_RT,8,100,LaSRCv3.0.5,3.1661914,141.5369049,25.43012109,120.7228351,,,,,,,,,,,,,,,
HLS.L30.T11SLU.2022238T182852.v2.0,11SLU,2022-08-26,LC08_L1TP_041036_20220826_20220826_02_RT,0,100,LaSRCv3.0.5,3.12950683,142.9000978,31.57612701,135.7092353,,,,,,,,,,,,,,,
HLS.L30.T11SLU.2022246T182833.v2.0,11SLU,2022-09-03,LC09_L1TP_041036_20220903_20220903_02_T1,1,100,LaSRCv3.0.5,3.20598768,141.3147448,33.65646544,139.5164171,,,,,,,,,,,,,,,
HLS.L30.T11SLU.2022278T182840.v2.0,11SLU,2022-10-05,LC09_L1TP_041036_20221005_20221005_02_T1,0,100,LaSRCv3.0.5,3.22532525,140.6097998,43.33659533,152.5641838,,,,,,,,,,,,,,,
HLS.L30.T11SLU.2022318T182853.v2.0,11SLU,2022-11-14,LC08_L1TP_041036_20221114_20221114_02_RT,4,100,LaSRCv3.0.5,3.16001577,141.7627207,55.6348023,159.797434,,,,,,,,,,,,,,,
HLS.L30.T11SLU.2022326T182847.v2.0,11SLU,2022-11-22,LC09_L1TP_041036_20221122_20221122_02_T1,5,100,LaSRCv3.0.5,3.18464718,142.115138,57.55791671,159.9823567,,,,,,,,,,,,,,,
HLS.L30.T11SLU.2022358T182843.v2.0,11SLU,2022-12-24,LC09_L1TP_041036_20221224_20221225_02_T1,9,100,LaSRCv3.0.5,3.22636745,140.5759862,61.56433698,157.7002611,,,,,,,,,,,,,,,
HLS.L30.T11SPV.2021125T181503.v2.0,11SPV,2021-05-05,LC08_L1TP_039035_20210505_20210517_02_T1,0,100,LaSRCv3.0.5,3.26117842,138.7300341,26.56081536,130.845055,,,,,,,,,,,,,,,
HLS.L30.T11SPV.2021285T181559.v2.0,11SPV,2021-10-12,LC08_L1TP_039035_20211012_20211019_02_T1,1,100,LaSRCv3.0.5,3.34214761,135.887531,46.46656205,155.2313456,,,,,,,,,,,,,,,
HLS.L30.T11SPV.2022040T181548.v2.0,11SPV,2022-02-09,LC09_L1TP_039035_20220209_20220209_02_T1,3,100,LaSRCv3.0.5,3,138,55,150,,,,,,,,,,,,,,,
HLS.L30.T11SPV.2022160T181541.v2.0,11SPV,2022-06-09,LC08_L1TP_039035_20220609_20220609_02_RT,1,100,LaSRCv3.0.5,3.32770955,136.4250351,22.30530474,118.8318319,,,,,,,,,,,,,,,
HLS.L30.T11SPV.2022200T181527.v2.0,11SPV,2022-07-19,LC09_L1TP_039035_20220719_20220719_02_T1,2,100,LaSRCv3.0.5,3.43706912,133.8694795,25.02817227,120.3492201,,,,,,,,,,,,,,,
HLS.L30.T11SPV.2022240T181606.v2.0,11SPV,2022-08-28,LC08_L1TP_039035_20220828_20220828_02_RT,1,100,LaSRCv3.0.5,3.3298728,136.3154827,32.64679782,137.8798359,,,,,,,,,,,,,,,
HLS.L30.T11SPV.2022280T181556.v2.0,11SPV,2022-10-07,LC09_L1TP_039035_20221007_20221007_02_T1,0,100,LaSRCv3.0.5,3.41707999,134.5315103,44.7382959,153.7819101,,,,,,,,,,,,,,,
HLS.L30.T11SPV.2022320T181606.v2.0,11SPV,2022-11-16,LC08_L1TP_039035_20221116_20221116_02_RT,3,100,LaSRCv3.0.5,3.378024,134.6901155,56.9452253,160.2368911,,,,,,,,,,,,,,,
HLS.L30.T12RZP.2021003T174132.v2.0,12RZP,2021-01-03,LC08_L1TP_033042_20210103_20210308_02_T1,2,61,LaSRCv3.0.5,5.4208738,279.4304901,53.5225585,152.8391085,,,,,,,,,,,,,,,
HLS.L30.T12RZP.2021028T173514.v2.0,12RZP,2021-01-28,LC08_L1TP_032042_20210128_20210305_02_T1,0,70,LaSRCv3.0.5,4.98555405,106.0367055,50.80465052,146.5117212,,,,,,,,,,,,,,,
HLS.L30.T12RZP.2021083T174105.v2.0,12RZP,2021-03-24,LC08_L1TP_033042_20210324_20210402_02_T1,2,61,LaSRCv3.0.5,5.42645345,279.4279916,33.26736775,132.3486492,,,,,,,,,,,,,,,
HLS.L30.T12RZP.2021108T173445.v2.0,12RZP,2021-04-18,LC08_L1TP_032042_20210418_20210424_02_T1,1,74,LaSRCv3.0.5,5,106,26,119,,,,,,,,,,,,,,,
HLS.L30.T12RZP.2021268T173525.v2.0,12RZP,2021-09-25,LC08_L1TP_032042_20210925_20211001_02_T1,3,71,LaSRCv3.0.5,4.94192479,106.1432225,33.79050102,139.2346529,,,,,,,,,,,,,,,
HLS.L30.T12RZP.2021323T174136.v2.0,12RZP,2021-11-19,LC08_L1TP_033042_20211119_20211119_02_RT,0,62,LaSRCv3.0.5,5.40272749,279.4310499,48.81512637,156.4426317,,,,,,,,,,,,,,,
HLS.L30.T12RZP.2022038T174124.v2.0,12RZP,2022-02-07,LC08_L1TP_033042_20220207_20220207_02_RT,1,60,LaSRCv3.0.5,5.43742,279.4310642,47.98755954,145.5095834,,,,,,,,,,,,,,,
HLS.L30.T12RZP.2022078T174116.v2.0,12RZP,2022-03-19,LC09_L1TP_033042_20220319_20220322_02_T1,0,60,LaSRCv3.0.5,5.45217685,279.9118993,35.05540067,134.3061391,,,,,,,,,,,,,,,
HLS.L30.T12RZP.2022103T173458.v2.0,12RZP,2022-04-13,LC09_L1TP_032042_20220413_20220414_02_T1,3,74,LaSRCv3.0.5,4.86303074,105.2856512,27.83565443,121.9208242,,,,,,,,,,,,,,,
HLS.L30.T12RZP.2022118T174101.v2.0,12RZP,2022-04-28,LC08_L1TP_033042_20220428_20220428_02_RT,0,61,LaSRCv3.0.5,5.43135306,279.47014,23.37074094,115.0160033,,,,,,,,,,,,,,,
HLS.L30.T12RZP.2022143T173502.v2.0,12RZP,2022-05-23,LC08_L1TP_032042_20220523_20220523_02_RT,0,72,LaSRCv3.0.5,4.9180839,106.201433,21.44356393,98.71911105,,,,,,,,,,,,,,,
HLS.L30.T12RZP.2022303T173544.v2.0,12RZP,2022-10-30,LC08_L1TP_032042_20221030_20221030_02_RT,0,74,LaSRCv3.0.5,4.81491035,106.2822808,43.81841129,152.4441779,,,,,,,,,,,,,,,
HLS.L30.T12RZP.2022358T174140.v2.0,12RZP,2022-12-24,LC08_L1TP_033042_20221224_20221224_02_RT,0,61,LaSRCv3.0.5,5.42297174,279.423075,53.59876528,154.5353547,,,,,,,,,,,,,,,
HLS.L30.T12WXS.2021096T183815.v2.0,12WXS,2021-04-06,LC08_L1TP_044015_20210406_20210415_02_T1,4,78,LaSRCv3.0.5,4.523955,283.0653007,58.03642164,169.3926108,,,,,,,,,,,,,,,
HLS.L30.T12WXS.2021146T182551.v2.0,12WXS,2021-05-26,LC08_L1TP_042015_20210526_20210529_02_T1,7,63,LaSRCv3.0.5,5.42199379,112.5239364,43.62311018,166.1728711,,,,,,,,,,,,,,,
HLS.L30.T12WXS.2021176T183759.v2.0,12WXS,2021-06-25,LC08_L1TP_044014_20210625_20210707_02_T1,0,83,LaSRCv3.0.5,4.4890363,281.053244,41.50142494,167.381906,,,,,,,,,,,,,,,
